Player,Position,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Pick,Value,Normalized Value
Theo Riddick,Running Back,70.0,201.0,4.68,32.0,,118.0,,,199.0,2500000.0,-0.27743682771202993
Mychal Rivera,Tight End,75.0,242.0,4.81,31.0,17.0,112.0,7.17,4.43,184.0,2264852.0,-0.3132251270023787
Logan Ryan,Cornerback,71.0,191.0,4.56,32.5,14.0,116.0,6.69,4.06,83.0,30000000.0,2.108016861359279
Brian Schwenke,Center,75.0,314.0,4.99,26.5,31.0,108.0,7.31,4.74,107.0,1300000.0,-0.45238050302881305
Kawann Short,Defensive Tackle,75.0,299.0,5.08,,,,,,44.0,13468000.0,0.5120582748340252
John Simon,Defensive End,73.0,257.0,4.62,,,,,,129.0,4150000.0,-0.22567828826502043
Tharold Simon,Cornerback,74.0,202.0,4.51,34.0,9.0,128.0,,,138.0,775000.0,-0.43848327012232324
Dion Sims,Tight End,77.0,262.0,4.75,35.0,22.0,112.0,7.36,4.52,106.0,2627552.0,-0.2687796554724219
Jamoris Slaughter,Safety,72.0,195.0,4.57,,,,,,175.0,930000.0,-0.492496298441382
Darius Slay,Cornerback,72.0,192.0,4.36,35.5,14.0,124.0,6.9,4.21,36.0,48150000.0,3.8022498682725656
Geno Smith,Quarterback,74.0,218.0,4.58,33.5,,124.0,,,39.0,5019603.0,-0.29993826708019666
Jared Smith,Guard,75.0,302.0,5.08,32.5,28.0,115.0,7.2,4.39,241.0,990000.0,-0.4515358584910919
Quanterus Smith,Defensive End,77.0,250.0,4.74,,,,,,146.0,525000.0,-0.5066844438260353
Brad Sorensen,Quarterback,76.0,229.0,4.97,29.0,,112.0,7.17,4.55,221.0,1100000.0,-0.4369156377715852
Akeem Spence,Defensive Tackle,73.0,307.0,5.15,30.0,37.0,107.0,7.82,4.72,100.0,2644424.0,-0.36712726169724275
Daimion Stafford,Safety,72.0,221.0,4.69,30.5,21.0,111.0,7.06,,248.0,775000.0,-0.49109053647426154
Jonathan Stewart,Running Back,76.0,242.0,4.68,31.0,19.0,118.0,7.44,4.53,,20600000.0,1.1565866569988865
Kenny Stills,Wide Receiver,72.0,194.0,4.38,33.5,16.0,124.0,,4.35,144.0,2354452.0,-0.36240019244344485
Caleb Sturgis,Kicker,70.0,188.0,4.77,,,,,,166.0,2304560.0,-0.33098780650576065
D.J. Swearinger,Safety,70.0,208.0,4.67,37.0,17.0,124.0,6.7,4.11,57.0,3491301.0,-0.20097087961405452
Devin Taylor,Defensive End,79.0,266.0,4.72,35.0,14.0,128.0,6.89,4.3,132.0,855000.0,-0.47326869503453245
Jamar Taylor,Cornerback,71.0,192.0,4.39,35.0,22.0,127.0,6.82,4.06,54.0,3626420.0,-0.20619610796858776
Manti Te'o,Inside Linebacker,73.0,241.0,4.82,33.0,,113.0,7.13,4.27,38.0,5000000.0,-0.09078775718439676
Dallas Thomas,Guard,77.0,306.0,5.08,,,,,,77.0,1565000.0,-0.39313334451168097
Phillip Thomas,Safety,72.0,208.0,4.65,35.0,14.0,122.0,,,119.0,930000.0,-0.492496298441382
Shamarko Thomas,Safety,69.0,213.0,4.42,40.5,28.0,133.0,,4.26,111.0,805000.0,-0.48724215795921816
Chris Thompson,Running Back,67.0,192.0,4.42,,21.0,,,,154.0,7006800.0,0.17911505448762147
Hugh Thornton,Guard,75.0,320.0,5.11,,27.0,,7.45,4.63,86.0,720000.0,-0.4663765500400338
Levine Toilolo,Tight End,80.0,260.0,4.86,31.0,17.0,113.0,7.09,4.57,133.0,6200000.0,0.16326458842150562
J.C. Tretter,Center,76.0,307.0,5.09,29.5,29.0,109.0,7.48,4.69,122.0,16750000.0,1.0511085029953078
Desmond Trufant,Cornerback,72.0,190.0,4.38,37.5,16.0,125.0,,3.85,22.0,20000000.0,1.2319345581022842
Kenny Vaccaro,Safety,72.0,214.0,4.63,38.0,15.0,121.0,6.78,4.06,15.0,9424712.0,0.46489782565072163
Ricky Wagner,Tackle,78.0,308.0,5.17,31.5,20.0,101.0,7.94,4.91,168.0,11000000.0,0.24397389053506616
Spencer Ware,Running Back,70.0,228.0,4.62,,,,,,194.0,2257432.0,-0.34948847689785467
Larry Warford,Guard,75.0,332.0,5.58,22.5,28.0,96.0,7.78,5.1,65.0,3075000.0,-0.2430170242002061
Chance Warmack,Guard,74.0,317.0,5.49,,,110.0,,,10.0,2500000.0,-0.2982700447809054
Cornelius Washington,Defensive End,76.0,265.0,4.55,39.0,36.0,128.0,,,188.0,2263788.0,-0.38676925926660927
Earl Watford,Guard,75.0,300.0,5.06,30.0,24.0,107.0,7.77,5.0,116.0,2594864.0,-0.29042489614743905
Menelik Watson,Tackle,77.0,310.0,5.29,24.5,,103.0,8.31,5.01,42.0,4794852.0,-0.20129580475077263
B.W. Webb,Cornerback,70.0,184.0,4.51,40.5,14.0,132.0,6.82,3.84,114.0,2603380.0,-0.2973612875694003
Kayvon Webster,Cornerback,70.0,195.0,4.41,35.0,14.0,125.0,,,90.0,2745800.0,-0.28466995108329246
Bjoern Werner,Outside Linebacker,75.0,266.0,4.83,31.0,25.0,111.0,7.3,4.4,24.0,755000.0,-0.5454970468991105
Markus Wheaton,Wide Receiver,71.0,189.0,4.45,37.0,20.0,120.0,6.8,4.02,79.0,2811376.0,-0.3262562046283041
J.J. Wilcox,Safety,72.0,213.0,4.57,35.0,17.0,124.0,7.02,4.09,80.0,2811068.0,-0.27730907142115746
Brandon Williams,Defensive End,73.0,335.0,5.37,29.5,38.0,102.0,8.09,4.91,94.0,2214000.0,-0.42171597580125686
Brandon Williams,Defensive End,71.0,197.0,4.37,30.5,18.0,118.0,6.85,4.19,92.0,2214000.0,-0.42171597580125686
Brennan Williams,Tackle,78.0,318.0,5.27,,,,,,89.0,1010000.0,-0.49428797801736685
Duke Williams,Safety,71.0,203.0,4.48,37.5,13.0,126.0,,4.0,105.0,1450000.0,-0.4245853112923256
Duke Williams,Safety,74.0,229.0,4.72,30.0,14.0,121.0,7.43,4.47,,1450000.0,-0.4245853112923256
Jesse Williams,Defensive Tackle,75.0,323.0,4.94,,30.0,,,,137.0,435000.0,-0.5489817983334754
Kerwynn Williams,Running Back,68.0,195.0,4.48,35.0,17.0,118.0,7.15,4.15,230.0,1110000.0,-0.4267155022606741
Shawn Williams,Safety,72.0,213.0,4.46,36.0,25.0,120.0,7.01,4.25,84.0,2760944.0,-0.2829341668313173
Steve Williams,Cornerback,69.0,181.0,4.42,40.5,12.0,128.0,6.89,4.1,145.0,675000.0,-0.44479337270741054
Sylvester Williams,Defensive Tackle,75.0,313.0,5.03,26.5,27.0,102.0,7.93,4.8,28.0,7581750.0,0.0739392716150698
Terrance Williams,Wide Receiver,74.0,208.0,4.52,32.5,11.0,119.0,7.01,4.32,74.0,2896972.0,-0.31948531760765125
Marquess Wilson,Wide Receiver,75.0,194.0,4.51,34.5,7.0,122.0,6.65,4.33,236.0,790000.0,-0.4649923985214845
Tyler Wilson,Quarterback,74.0,215.0,4.95,28.5,,112.0,7.22,4.39,112.0,1485000.0,-0.4623766323559049
Brian Winters,Guard,76.0,320.0,5.22,,9.0,,,,72.0,3000000.0,-0.26410302639870475
Earl Wolff,Safety,71.0,209.0,4.44,39.0,,134.0,,4.07,136.0,1320000.0,-0.4298627753305499
Robert Woods,Wide Receiver,72.0,201.0,4.51,33.5,14.0,117.0,7.15,4.47,41.0,34000000.0,2.2564188598142123
Khalid Wooten,Safety,71.0,210.0,4.53,33.5,17.0,117.0,6.95,4.18,202.0,1935000.0,-0.3756245706987066
Blidi Wreh-Wilson,Cornerback,73.0,195.0,4.53,36.0,14.0,128.0,6.97,4.12,70.0,1212500.0,-0.3997298749540324
Jared Abbrederis,Wide Receiver,73.0,195.0,4.5,30.5,4.0,117.0,6.8,4.08,176.0,1575000.0,-0.40075146083801194
Davante Adams,Wide Receiver,73.0,212.0,4.56,39.5,14.0,123.0,6.82,4.3,53.0,58000000.0,4.2219446687390745
Ricardo Allen,Safety,69.0,187.0,4.61,35.5,13.0,117.0,,4.15,147.0,2914000.0,-0.2590698836033987
Jace Amaro,Tight End,77.0,265.0,4.74,33.0,28.0,118.0,7.42,4.3,49.0,630000.0,-0.5155869033947589
Dri Archer,Running Back,68.0,173.0,4.26,38.0,20.0,122.0,6.86,4.06,97.0,607000.0,-0.4800947177654739
Jeremiah Attaochu,Outside Linebacker,75.0,252.0,,,,,,,50.0,4203100.0,-0.3279910562085531
Anthony Barr,Outside Linebacker,77.0,255.0,4.66,34.5,15.0,119.0,6.82,4.19,9.0,12743500.0,0.25328767410325265
Lamin Barrow,Inside Linebacker,73.0,237.0,4.64,35.0,22.0,123.0,7.24,4.35,156.0,1100000.0,-0.47046946147623836
Kelvin Benjamin,Tight End,77.0,240.0,4.61,32.5,13.0,119.0,7.33,4.39,28.0,990000.0,-0.46943051496052807
Nat Berhe,Safety,70.0,193.0,4.71,35.5,15.0,117.0,7.08,4.22,152.0,790000.0,-0.4865171490812704
Joel Bitonio,Guard,76.0,302.0,4.92,32.0,22.0,114.0,7.37,4.44,35.0,48000000.0,3.8718778378282517
Rob Blanchflower,Tight End,76.0,256.0,4.82,,,,,,230.0,435000.0,-0.5253209490672301
Alfred Blue,Running Back,74.0,223.0,4.63,32.0,13.0,121.0,7.15,4.5,181.0,895000.0,-0.44764957112829445
Russell Bodine,Center,75.0,310.0,5.18,29.0,42.0,109.0,8.26,4.66,111.0,2676456.0,-0.30550968560575525
Blake Bortles,Quarterback,77.0,232.0,4.93,32.5,,115.0,7.08,4.21,3.0,20654810.0,0.4193315987634805
Tre Boston,Safety,72.0,204.0,4.58,35.0,18.0,116.0,7.04,4.31,128.0,2625468.0,-0.29870106421607767
Tajh Boyd,Quarterback,73.0,222.0,4.84,30.5,,106.0,7.33,4.23,213.0,435000.0,-0.465908049718644
